aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,date_id
 ,힐스테이트클래시안,11560-2151,4969,0,2020,개인, , ,"130,000",4,9,2024,중개거래,서울 영등포구,59.91,7,4969,1,N, ,신길로28길,9,0,4154504,1,11560,0.0,11560,개인,13200,신길동,2024-09-15
 ,영등포중흥에스클래스,11560-2186,271,0,2021,개인, , ,"106,000",6,9,2024,중개거래,서울 영등포구,59.97,24,271,1,N, ,선유서로24길,6,0,4154467,1,11560,0.0,11560,개인,12500,양평동1가,2024-09-15
 ,헤렌어반,11560-1518,144,0,2011,개인, , ,"10,950",2,9,2024,중개거래,서울 영등포구,13.216,2,144,1,N, ,경인로114가길,14,0,4154043,1,11560,0.0,11560,개인,10200,영등포동1가,2024-09-15
 ,브라이튼여의도,11560-2391,525,0,2023,개인, , ,"376,100",2,9,2024,직거래, ,101.9509,26,525,1,N, ,국제금융로,39,0,3118002,1,11560,0.0,11560,법인,11000,여의도동,2024-09-15
 ,늘푸른,11560-1385,974,1,2008,개인, , ,"50,000",7,9,2024,중개거래,서울 영등포구,78.58,6,974-1,1,N, ,시흥대로181길,17,0,4154482,1,11560,0.0,11560,개인,13300,대림동,2024-09-15
 ,e편한세상 문래 에듀플라츠,11560-2150,58,0,2020,개인, , ,"100,500",8,9,2024,중개거래,"경기 광주시, 서울 영등포구",59.9854,5,58,1,N, ,선유서로,50,0,3118013,0,11560,0.0,11560,개인,12400,문래동6가,2024-09-15
 ,현대2,11560-39,92,0,1986,개인, , ,"92,000",7,9,2024,중개거래,서울 영등포구,81.2,1,92,1,N, ,국회대로29길,5,0,4154070,1,11560,0.0,11560,개인,11400,당산동4가,2024-09-15
 ,영등포자이르네,11560-2267,1132,0,2022,개인, , ,"62,700",7,9,2024,중개거래,서울 영등포구,49.01,7,1132,1,N, ,시흥대로,625,0,2005010,0,11560,0.0,11560,개인,13300,대림동,2024-09-15
101,문래해태,11560-59,13,0,1999,개인, , ,"65,000",12,9,2024,중개거래,서울 영등포구,65.65,4,13,1,N,24.09.12,영신로25길,8,0,4154768,1,11560,0.0,11560,개인,12100,문래동3가,2024-09-15
 ,삼환,11560-7,76,1,1999,개인, , ,"95,000",2,9,2024,중개거래,"서울 광진구, 서울 영등포구",59.91,8,76-1,1,N, ,영중로,145,0,3118024,6,11560,0.0,11560,개인,10900,영등포동8가,2024-09-15
306,현대3차,11560-133,608,1,1997,개인, , ,"78,000",2,9,2024,직거래, ,140.54,18,608-1,1,N,24.09.04,도신로,31,0,3118006,3,11560,0.0,11560,개인,13300,대림동,2024-09-15
 ,공작,11560-8,21,2,1976,개인, , ,"239,500",3,9,2024,중개거래,서울 영등포구,93.06,11,21-2,1,N, ,여의대로6길,17,0,4154645,1,11560,0.0,11560,개인,11000,여의도동,2024-09-15
 ,현대3차,11560-133,608,1,1997,개인, , ,"79,500",2,9,2024,중개거래,서울 영등포구,59.83,8,608-1,1,N, ,도신로,31,0,3118006,3,11560,0.0,11560,개인,13300,대림동,2024-09-15
 ,래미안당산1차,11560-49,374,0,1995,개인, , ,"127,000",2,9,2024,중개거래,서울 영등포구,84.99,19,374,1,N, ,당산로54길,11,0,4154134,2,11560,0.0,11560,개인,11700,당산동,2024-09-15
 ,e편한세상영등포아델포레,11560-2141,1127,0,2020,개인, , ,"105,000",2,9,2024,중개거래,서울 영등포구,59.968,15,1127,1,N, ,신길로,29,0,3118014,8,11560,0.0,11560,개인,13300,대림동,2024-09-15
 ,G밸리소홈,11560-2043,1101,7,2018,개인, , ,"15,000",7,9,2024,직거래, ,16.1,12,1101-7,1,N, ,도림천로19길,11,0,4154300,0,11560,0.0,11560,개인,13300,대림동,2024-09-15
 ,포레나영등포센트럴,11560-2164,208,0,2020,개인, , ,"139,500",2,9,2024,중개거래,서울 영등포구,84.8025,20,208,1,N, ,국회대로50길,20,0,4154080,0,11560,0.0,11560,개인,10800,영등포동7가,2024-09-15
